exercise_id,media_key,display_name,youtube_video_id,youtube_url,thumbnail_url,tutorial_url,source_file,status
hanging_leg_raise,hanging_leg_raise,Hanging Leg Raise,rbOJSK07AGA,https://www.youtube.com/watch?v=rbOJSK07AGA,https://img.youtube.com/vi/rbOJSK07AGA/hqdefault.jpg,https://www.youtube.com/watch?v=rbOJSK07AGA,data/exercises/abs-core.json,approved_assumed
captain_s_chair_leg_raise,captain_s_chair_leg_raise,Captain's Chair Leg Raise,711U6NbJRmc,https://www.youtube.com/watch?v=711U6NbJRmc,https://img.youtube.com/vi/711U6NbJRmc/hqdefault.jpg,https://www.youtube.com/watch?v=711U6NbJRmc,data/exercises/abs-core.json,approved_assumed
lying_leg_raise,lying_leg_raise,Lying Leg Raise,sY2ZgV2Sj_s,https://www.youtube.com/watch?v=sY2ZgV2Sj_s,https://img.youtube.com/vi/sY2ZgV2Sj_s/hqdefault.jpg,https://www.youtube.com/watch?v=sY2ZgV2Sj_s,data/exercises/abs-core.json,approved_assumed
reverse_crunch,reverse_crunch,Reverse Crunch,7rRWy7-Gokg,https://www.youtube.com/watch?v=7rRWy7-Gokg,https://img.youtube.com/vi/7rRWy7-Gokg/hqdefault.jpg,https://www.youtube.com/watch?v=7rRWy7-Gokg,data/exercises/abs-core.json,approved_assumed
cable_crunch,cable_crunch,Cable Crunch,0KEP6A1deBE,https://www.youtube.com/watch?v=0KEP6A1deBE,https://img.youtube.com/vi/0KEP6A1deBE/hqdefault.jpg,https://www.youtube.com/watch?v=0KEP6A1deBE,data/exercises/abs-core.json,approved_assumed
machine_crunch,machine_crunch,Machine Crunch,-OUSBPnHvsQ,https://www.youtube.com/watch?v=-OUSBPnHvsQ,https://img.youtube.com/vi/-OUSBPnHvsQ/hqdefault.jpg,https://www.youtube.com/watch?v=-OUSBPnHvsQ,data/exercises/abs-core.json,approved_assumed
ab_wheel_rollout,ab_wheel_rollout,Ab Wheel Rollout,PK4n7qJpOhM,https://www.youtube.com/watch?v=PK4n7qJpOhM,https://img.youtube.com/vi/PK4n7qJpOhM/hqdefault.jpg,https://www.youtube.com/watch?v=PK4n7qJpOhM,data/exercises/abs-core.json,approved_assumed
barbell_rollout,barbell_rollout,Barbell Rollout,b-Yy9UXtIo4,https://www.youtube.com/watch?v=b-Yy9UXtIo4,https://img.youtube.com/vi/b-Yy9UXtIo4/hqdefault.jpg,https://www.youtube.com/watch?v=b-Yy9UXtIo4,data/exercises/abs-core.json,approved_assumed
plank,plank,Plank,ASdvN_XEl_c,https://www.youtube.com/watch?v=ASdvN_XEl_c,https://img.youtube.com/vi/ASdvN_XEl_c/hqdefault.jpg,https://www.youtube.com/watch?v=ASdvN_XEl_c,data/exercises/abs-core.json,approved_assumed
weighted_plank,weighted_plank,Weighted Plank,H88Ip-MUWn0,https://www.youtube.com/watch?v=H88Ip-MUWn0,https://img.youtube.com/vi/H88Ip-MUWn0/hqdefault.jpg,https://www.youtube.com/watch?v=H88Ip-MUWn0,data/exercises/abs-core.json,approved_assumed
russian_twist,russian_twist,Russian Twist,JyUqwkVpsi8,https://www.youtube.com/watch?v=JyUqwkVpsi8,https://img.youtube.com/vi/JyUqwkVpsi8/hqdefault.jpg,https://www.youtube.com/watch?v=JyUqwkVpsi8,data/exercises/abs-core.json,approved_assumed
cable_woodchopper,cable_woodchopper,Cable Woodchopper,he4IhLc1d5k,https://www.youtube.com/watch?v=he4IhLc1d5k,https://img.youtube.com/vi/he4IhLc1d5k/hqdefault.jpg,https://www.youtube.com/watch?v=he4IhLc1d5k,data/exercises/abs-core.json,approved_assumed
toe_touch_crunch,toe_touch_crunch,Toe Touch Crunch,NR4k8hJfs-8,https://www.youtube.com/watch?v=NR4k8hJfs-8,https://img.youtube.com/vi/NR4k8hJfs-8/hqdefault.jpg,https://www.youtube.com/watch?v=NR4k8hJfs-8,data/exercises/abs-core.json,approved_assumed
crunch,crunch,Crunch,0t4t3IpiEao,https://www.youtube.com/watch?v=0t4t3IpiEao,https://img.youtube.com/vi/0t4t3IpiEao/hqdefault.jpg,https://www.youtube.com/watch?v=0t4t3IpiEao,data/exercises/abs-core.json,approved_assumed
decline_sit_up,decline_sit_up,Decline Sit-Up,QhGU5cmNZds,https://www.youtube.com/watch?v=QhGU5cmNZds,https://img.youtube.com/vi/QhGU5cmNZds/hqdefault.jpg,https://www.youtube.com/watch?v=QhGU5cmNZds,data/exercises/abs-core.json,approved_assumed
sit_up,sit_up,Sit-Up,pCX65Mtc_Kk,https://www.youtube.com/watch?v=pCX65Mtc_Kk,https://img.youtube.com/vi/pCX65Mtc_Kk/hqdefault.jpg,https://www.youtube.com/watch?v=pCX65Mtc_Kk,data/exercises/abs-core.json,approved_assumed
lat_pulldown,lat_pulldown,Lat Pulldown,K3QLrwffc3c,https://www.youtube.com/watch?v=K3QLrwffc3c,https://img.youtube.com/vi/K3QLrwffc3c/hqdefault.jpg,https://www.youtube.com/watch?v=K3QLrwffc3c,data/exercises/back-biceps.json,approved_assumed
pull_up,pull_up,Pull-Up,eGo4IYlbE5g,https://www.youtube.com/watch?v=eGo4IYlbE5g,https://img.youtube.com/vi/eGo4IYlbE5g/hqdefault.jpg,https://www.youtube.com/watch?v=eGo4IYlbE5g,data/exercises/back-biceps.json,approved_assumed
assisted_pull_up,assisted_pull_up,Assisted Pull-Up,gx0RWT7WbmA,https://www.youtube.com/watch?v=gx0RWT7WbmA,https://img.youtube.com/vi/gx0RWT7WbmA/hqdefault.jpg,https://www.youtube.com/watch?v=gx0RWT7WbmA,data/exercises/back-biceps.json,approved_assumed
barbell_row,barbell_row,Barbell Row,kBWAon7ItDw,https://www.youtube.com/watch?v=kBWAon7ItDw,https://img.youtube.com/vi/kBWAon7ItDw/hqdefault.jpg,https://www.youtube.com/watch?v=kBWAon7ItDw,data/exercises/back-biceps.json,approved_assumed
dumbbell_row,dumbbell_row,Dumbbell Row,PQ1X977ag5E,https://www.youtube.com/watch?v=PQ1X977ag5E,https://img.youtube.com/vi/PQ1X977ag5E/hqdefault.jpg,https://www.youtube.com/watch?v=PQ1X977ag5E,data/exercises/back-biceps.json,approved_assumed
machine_row,machine_row,Machine Row,GZbfZ033f74,https://www.youtube.com/watch?v=GZbfZ033f74,https://img.youtube.com/vi/GZbfZ033f74/hqdefault.jpg,https://www.youtube.com/watch?v=GZbfZ033f74,data/exercises/back-biceps.json,approved_assumed
seated_cable_row,seated_cable_row,Seated Cable Row,7BkgqzC6WsM,https://www.youtube.com/watch?v=7BkgqzC6WsM,https://img.youtube.com/vi/7BkgqzC6WsM/hqdefault.jpg,https://www.youtube.com/watch?v=7BkgqzC6WsM,data/exercises/back-biceps.json,approved_assumed
single_arm_cable_row,single_arm_cable_row,Single Arm Cable Row,PZMGVOSsDlQ,https://www.youtube.com/watch?v=PZMGVOSsDlQ,https://img.youtube.com/vi/PZMGVOSsDlQ/hqdefault.jpg,https://www.youtube.com/watch?v=PZMGVOSsDlQ,data/exercises/back-biceps.json,approved_assumed
